Emp_ID,Month,Payable_Salary,Old_Dues,Other_Amount,Note,Manual_Work_Days,Manual_Leave_Days
1003,2024-04,3166,8630,0,,,
1003,2024-05,666,0,0,,,
1003,2024-06,2500,0,0,,,
1003,2024-07,4333,0,0,,,
1003,2024-08,5000,0,0,,,
1003,2024-09,5000,0,0,,,
1003,2024-10,5000,0,0,,,
1003,2024-11,5000,0,0,,,
1003,2024-12,5000,0,0,,,
1003,2025-01,5000,0,0,,,
1003,2025-02,5000,0,0,,,
1003,2025-03,5000,0,0,,,
1023,2024-04,0,11468,0,Dues carried forward,,
1038,2024-07,7483,0,0,,,
1038,2024-08,11500,0,0,,,
1038,2024-09,7850,0,0,,,
1038,2024-10,8049,0,0,,,
1038,2024-11,0,0,0,,,
1038,2024-12,0,0,0,,,
1038,2025-01,0,0,0,,,
1038,2025-02,0,0,0,,,
1038,2025-03,0,0,0,,,
1031,2024-04,9500,19408,0,,,
1031,2024-05,0,0,0,,,
1031,2024-06,0,0,0,,,
1019,2024-04,0,42971,0,Dues carried forward,,
1033,2024-07,10000,0,0,,,
1033,2024-08,10000,0,0,,,
1033,2024-09,9666,0,0,,,
1033,2024-10,9666,0,0,,,
1033,2024-11,9833,0,0,,,
1033,2024-12,9666,0,0,,,
1033,2025-01,9666,0,0,,,
1033,2025-02,9666,0,0,,,
1033,2025-03,9666,0,0,,,
1036,2024-07,13500,0,0,,,
1036,2024-08,15000,0,0,,,
1036,2024-09,14500,0,0,,,
1036,2024-10,14500,0,0,,,
1036,2024-11,7500,0,0,,,
1036,2024-12,10500,0,0,,,
1036,2025-01,10500,0,0,,,
1036,2025-02,10500,0,0,,,
1036,2025-03,10500,0,0,,,
1018,2024-04,0,-2800,0,Dues carried forward,,
1029,2024-04,9500,6500,0,,,
1029,2024-05,1266,0,0,,,
1029,2024-06,4116,0,0,,,
1029,2024-07,10000,0,0,,,
1029,2024-08,10000,0,0,,,
1029,2024-09,10000,0,0,,,
1029,2024-10,10000,0,0,,,
1029,2024-11,9700,0,0,,,
1029,2024-12,10000,0,0,,,
1029,2025-01,10000,0,0,,,
1029,2025-02,10000,0,0,,,
1029,2025-03,10000,0,0,,,
1039,2024-08,3600,0,0,,,
1039,2024-09,9200,0,0,,,
1039,2024-10,12000,0,0,,,
1039,2024-11,4800,0,0,,,
1039,2024-12,6400,0,0,,,
1039,2025-01,6400,0,0,,,
1039,2025-02,6400,0,0,,,
1039,2025-03,6400,0,0,,,
1025,2024-04,14000,26599,0,,,
1025,2024-05,1866,0,0,,,
1025,2024-06,2333,0,0,,,
1025,2024-07,9800,0,0,,,
1025,2024-08,14000,0,0,,,
1025,2024-09,14000,0,0,,,
1025,2024-10,14000,0,0,,,
1025,2024-11,13766,0,0,,,
1025,2024-12,13533,0,0,,,
1025,2025-01,13533,0,0,,,
1025,2025-02,13533,0,0,,,
1025,2025-03,13533,0,0,,,
1027,2024-04,0,-68,0,Dues carried forward,,
1030,2024-04,0,15764,0,,,
1030,2024-05,0,0,0,,,
1030,2024-06,3200,0,0,,,
1030,2024-07,6133,0,0,,,
1030,2024-08,8000,0,0,,,
1030,2024-09,4133,0,0,,,
1030,2024-10,8000,0,0,,,
1030,2024-11,7733,0,0,,,
1030,2024-12,3200,0,0,,,
1030,2025-01,3200,0,0,,,
1030,2025-02,3200,0,0,,,
1030,2025-03,3200,0,0,,,
1028,2024-04,3500,20148,0,,,
1028,2024-05,933,0,0,,,
1028,2024-06,1633,0,0,,,
1028,2024-07,5366,0,0,,,
1028,2024-08,7000,0,0,,,
1028,2024-09,4900,0,0,,,
1028,2024-10,4433,0,0,,,
1028,2024-11,7000,0,0,,,
1028,2024-12,4200,0,0,,,
1028,2025-01,4200,0,0,,,
1028,2025-02,4200,0,0,,,
1028,2025-03,4200,0,0,,,
1013,2024-04,0,244,0,Dues carried forward,,
1005,2024-04,12000,87183,0,,,
1005,2024-05,1600,0,0,,,
1005,2024-06,6400,0,0,,,
1005,2024-07,12000,0,0,,,
1005,2024-08,12000,0,0,,,
1005,2024-09,12000,0,0,,,
1005,2024-10,12000,0,0,,,
1005,2024-11,12000,0,0,,,
1005,2024-12,12000,0,0,,,
1005,2025-01,12000,0,0,,,
1005,2025-02,12000,0,0,,,
1005,2025-03,12000,0,0,,,
1004,2024-04,40000,215000,0,,,
1004,2024-05,40000,0,0,,,
1004,2024-06,40000,0,0,,,
1004,2024-07,40000,0,0,,,
1004,2024-08,40000,0,0,,,
1004,2024-09,40000,0,0,,,
