Emp_ID,Month,Payable_Salary,Old_Dues,Other_Amount,Note,Manual_Work_Days,Manual_Leave_Days
1003,2023-04,5000,8636,0,,,
1003,2023-05,833,0,0,,,
1003,2023-06,1666,0,0,,,
1003,2023-07,5000,0,0,,,
1003,2023-08,5000,0,0,,,
1003,2023-09,5000,0,0,,,
1003,2023-10,5000,0,0,,,
1003,2023-11,4500,0,0,,,
1003,2023-12,5000,0,0,,,
1003,2024-01,4000,0,0,,,
1003,2024-02,5000,0,0,,,
1003,2024-03,4666,0,0,,,
1023,2023-06,5333,41703,0,,,
1023,2023-07,16000,0,0,,,
1023,2023-08,14933,0,0,,,
1023,2023-09,16000,0,0,,,
1023,2023-10,16000,0,0,,,
1023,2023-11,15466,0,0,,,
1023,2023-12,15466,0,0,,,
1023,2024-01,4800,0,0,,,
1023,2024-03,1067,0,0,,,
1031,2023-08,4908,0,0,,,
1031,2023-09,9500,0,0,,,
1031,2023-10,9500,0,0,,,
1031,2023-11,9500,0,0,,,
1031,2023-12,9500,0,0,,,
1031,2024-01,9500,0,0,,,
1031,2024-02,9500,0,0,,,
1031,2024-03,9500,0,0,,,
1019,2023-04,8216,63641,0,,,
1019,2023-05,1133,0,0,,,
1019,2023-06,850,0,0,,,
1019,2023-07,7933,0,0,,,
1019,2023-08,2550,0,0,,,
1019,2023-09,8500,0,0,,,
1019,2023-10,8216,0,0,,,
1019,2023-11,8500,0,0,,,
1019,2023-12,8216,0,0,,,
1019,2024-01,8500,0,0,,,
1019,2024-02,8500,0,0,,,
1019,2024-03,8216,0,0,,,
1018,2023-04,11600,8800,0,,,
1018,2023-06,6000,0,0,,,
1018,2023-07,12000,0,0,,,
1018,2023-08,7200,0,0,,,
1018,2023-09,10800,0,0,,,
1018,2023-10,8400,0,0,,,
1018,2023-11,3600,0,0,,,
1018,2024-01,2800,0,0,,,
1018,2024-02,2400,0,0,,,
1029,2023-07,8866,0,0,,,
1029,2023-08,9500,0,0,,,
1029,2023-09,9500,0,0,,,
1029,2023-10,9500,0,0,,,
1029,2023-11,9500,0,0,,,
1029,2023-12,9500,0,0,,,
1029,2024-01,9500,0,0,,,
1029,2024-02,9500,0,0,,,
1029,2024-03,9500,0,0,,,
1022,2023-04,1867,0,0,,,
1020,2023-04,10500,1581,0,,,
1025,2023-06,2800,0,0,,,
1025,2023-07,14000,0,0,,,
1025,2023-08,14000,0,0,,,
1025,2023-09,14000,0,0,,,
1025,2023-10,14000,0,0,,,
1025,2023-11,14000,0,0,,,
1025,2023-12,13533,0,0,,,
1025,2024-01,13533,0,0,,,
1025,2024-02,13533,0,0,,,
1025,2024-03,14000,0,0,,,
1027,2023-07,9183,0,0,,,
1027,2023-08,8866,0,0,,,
1027,2023-09,5383,0,0,,,
1030,2023-07,4266,0,0,,,
1030,2023-08,8000,0,0,,,
1030,2023-09,3733,0,0,,,
1030,2023-10,7733,0,0,,,
1030,2023-11,7733,0,0,,,
1030,2023-12,7733,0,0,,,
1030,2024-01,4800,0,0,,,
1030,2024-02,7733,0,0,,,
1030,2024-03,4533,0,0,,,
1015,2023-04,7333,76948,0,,,
1015,2023-05,2000,0,0,,,
1015,2023-06,6213,0,0,,,
1028,2023-07,6300,0,0,,,
1028,2023-08,6766,0,0,,,
1028,2023-09,4433,0,0,,,
1028,2023-10,4900,0,0,,,
1028,2023-11,6883,0,0,,,
1028,2023-12,4667,0,0,,,
1028,2024-01,6766,0,0,,,
1028,2024-02,3500,0,0,,,
1028,2024-03,4433,0,0,,,
1013,2023-04,6766,38413,0,,,
1013,2023-05,933,0,0,,,
1013,2023-06,233,0,0,,,
1013,2023-07,6766,0,0,,,
1013,2023-08,4433,0,0,,,
1013,2023-09,7000,0,0,,,
1013,2023-10,7000,0,0,,,
1013,2023-11,7000,0,0,,,
1013,2023-12,4200,0,0,,,
1013,2024-01,7000,0,0,,,
1005,2023-04,12000,91883,0,,,
1005,2023-05,1600,0,0,,,
1005,2023-06,11200,0,0,,,
1005,2023-07,12000,0,0,,,
1005,2023-08,12000,0,0,,,
1005,2023-09,12000,0,0,,,
1005,2023-10,12000,0,0,,,
1005,2023-11,12000,0,0,,,
1005,2023-12,12000,0,0,,,
1005,2024-01,12000,0,0,,,
1005,2024-02,12000,0,0,,,
1005,2024-03,12000,0,0,,,
1011,2023-04,10000,27333,0,,,
1011,2023-05,333,0,0,,,
1011,2023-06,3664,0,0,,,
1021,2023-04,5000,0,0,,,
1004,2023-04,35000,65000,0,,,
1004,2023-05,35000,0,0,,,
1004,2023-06,35000,0,0,,,
1004,2023-07,40000,0,0,,,
1004,2023-08,40000,0,0,,,
1004,2023-09,40000,0,0,,,
1004,2023-10,40000,0,0,,,
1004,2023-11,40000,0,0,,,
1004,2023-12,40000,0,0,,,
1004,2024-01,40000,0,0,,,
1004,2024-02,40000,0,0,,,
1004,2024-03,40000,0,0,,,
1010,2023-04,300,38000,0,,,
1009,2023-04,1150,27688,0,,,
1001,2023-04,11000,57279,0,,,
1001,2023-05,1466,0,0,,,
1001,2023-06,3666,0,0,,,
1001,2023-07,10633,0,0,,,
1001,2023-08,10633,0,0,,,
1001,2023-09,11000,0,0,,,
1001,2023-10,11000,0,0,,,
1001,2023-11,11000,0,0,,,
1001,2023-12,11000,0,0,,,
1001,2024-01,8800,0,0,,,
1001,2024-02,11000,0,0,,,
1001,2024-03,11000,0,0,,,
1008,2023-04,9500,52856,0,,,
1008,2023-05,316,0,0,,,
1006,2023-04,11000,77397,0,,,
1006,2023-05,1466,0,0,,,
1006,2023-06,4033,0,0,,,
1006,2023-07,10266,0,0,,,
1006,2023-08,3666,0,0,,,
1006,2023-10,11000,0,0,,,
1006,2023-11,10816,0,0,,,
1006,2023-12,11000,0,0,,,
1006,2024-01,11000,0,0,,,
1006,2024-02,11000,0,0,,,
1006,2024-03,11000,0,0,,,
1026,2023-06,1666,0,0,,,
1026,2023-07,9333,0,0,,,
1026,2023-08,9660,0,0,,,
1026,2023-09,10000,0,0,,,
1026,2023-10,667,0,0,,,
1026,2023-11,3000,0,0,,,
1026,2024-01,667,0,0,,,
1026,2024-02,667,0,0,,,
1024,2023-06,3333,0,0,,,
1024,2023-07,10000,0,0,,,
1024,2023-08,666,0,0,,,
1007,2023-07,2833,0,0,,,
1014,2023-08,1950,0,0,,,
1014,2023-12,667,0,0,,,
1032,2023-09,11666,0,0,,,
1032,2023-10,13533,0,0,,,
1032,2023-11,14000,0,0,,,
1032,2023-12,13533,0,0,,,
1032,2024-01,13066,0,0,,,
1032,2024-02,13533,0,0,,,
1032,2024-03,6066,0,0,,,
1016,2023-04,0,11214,0,,,
